tournament_id,year,team_id,team,team_code,confederation,tournament_name,placement,position,matches_played
WC-1958,1958,BRA,Brazil,BRA,CONMEBOL,1958 FIFA Men's World Cup,Winner,1,6
WC-1958,1958,SWE,Sweden,SWE,UEFA,1958 FIFA Men's World Cup,Runner-up,2,6
WC-1958,1958,FRA,France,FRA,UEFA,1958 FIFA Men's World Cup,Third Place,3,6
WC-1958,1958,GER,Germany,DEU,UEFA,1958 FIFA Men's World Cup,Semi-final,4,6
WC-1958,1958,NIR,Northern Ireland,NIR,UEFA,1958 FIFA Men's World Cup,Quarter-final,8,5
WC-1958,1958,SUN,Soviet Union,SUN,UEFA,1958 FIFA Men's World Cup,Quarter-final,8,5
WC-1958,1958,WAL,Wales,WAL,UEFA,1958 FIFA Men's World Cup,Quarter-final,8,5
WC-1958,1958,YUG,Yugoslavia,YUG,UEFA,1958 FIFA Men's World Cup,Quarter-final,8,4
WC-1958,1958,ARG,Argentina,ARG,CONMEBOL,1958 FIFA Men's World Cup,Group Stage,16,3
WC-1958,1958,AUT,Austria,AUT,UEFA,1958 FIFA Men's World Cup,Group Stage,16,3
WC-1958,1958,CSK,Czechoslovakia,CSK,UEFA,1958 FIFA Men's World Cup,Group Stage,16,4
WC-1958,1958,ENG,England,ENG,UEFA,1958 FIFA Men's World Cup,Group Stage,16,4
WC-1958,1958,HUN,Hungary,HUN,UEFA,1958 FIFA Men's World Cup,Group Stage,16,4
WC-1958,1958,MEX,Mexico,MEX,CONCACAF,1958 FIFA Men's World Cup,Group Stage,16,3
WC-1958,1958,PRY,Paraguay,PRY,CONMEBOL,1958 FIFA Men's World Cup,Group Stage,16,3
WC-1958,1958,SCO,Scotland,SCO,UEFA,1958 FIFA Men's World Cup,Group Stage,16,3
